School_Year,Semester,Course,total_enrollees,Year_Level,Enrollees_Count,Start_Year,Department,Semester_Order,Lag_1_Enrollees,Rolling_Mean_3,Rolling_Std_3,Growth_Rate,Year_Semester_Interaction,Time_Index,Enrollment_Trend,Dept_Enrollment_Ratio,Semester_Sin,Semester_Cos,ARIMA_Residual,Actual_Enrollment
2018-2019,1st,BSBA-FINANCIAL_MANAGEMENT,260,1st_year,132,2018,BA,1,42.473214285714285,132.0,0.0,0.0,2018,1,-6.303296703296706,0.24309392265188892,1.2246467991473532e-16,-1.0,0.0,
2018-2019,1st,BSBA-FINANCIAL_MANAGEMENT,260,2nd_year,50,2018,BA,1,42.473214285714285,50.0,0.0,0.0,2018,1,-3.0791208791208793,0.09208103130753367,1.2246467991473532e-16,-1.0,0.0,
2018-2019,1st,BSBA-FINANCIAL_MANAGEMENT,260,3rd_year,59,2018,BA,1,42.473214285714285,59.0,0.0,0.0,2018,1,-3.773626373626375,0.10865561694288974,1.2246467991473532e-16,-1.0,0.0,
2018-2019,1st,BSBA-FINANCIAL_MANAGEMENT,260,4th_year,19,2018,BA,1,42.473214285714285,19.0,0.0,0.0,2018,1,-2.0945054945054946,0.0349907918968628,1.2246467991473532e-16,-1.0,0.0,
2018-2019,1st,BSBA-MARKETING_MANAGEMENT,283,1st_year,157,2018,BA,1,42.473214285714285,157.0,0.0,0.0,2018,1,-6.153846153846151,0.28913443830565577,1.2246467991473532e-16,-1.0,0.0,
2018-2019,1st,BSBA-MARKETING_MANAGEMENT,283,2nd_year,45,2018,BA,1,42.473214285714285,45.0,0.0,0.0,2018,1,-3.325274725274725,0.08287292817678031,1.2246467991473532e-16,-1.0,0.0,
2018-2019,1st,BSBA-MARKETING_MANAGEMENT,283,3rd_year,50,2018,BA,1,42.473214285714285,50.0,0.0,0.0,2018,1,-3.008791208791208,0.09208103130753367,1.2246467991473532e-16,-1.0,0.0,
2018-2019,1st,BSBA-MARKETING_MANAGEMENT,283,4th_year,31,2018,BA,1,42.473214285714285,31.0,0.0,0.0,2018,1,-3.353846153846154,0.05709023941067088,1.2246467991473532e-16,-1.0,0.0,
2018-2019,1st,BSCS,50,1st_year,26,2018,CS,1,42.473214285714285,26.0,0.0,0.0,2018,1,-0.5120879120879123,0.51999999999896,1.2246467991473532e-16,-1.0,26.0,26.0
2018-2019,1st,BSCS,50,2nd_year,8,2018,CS,1,42.473214285714285,8.0,0.0,0.0,2018,1,-0.1142857142857144,0.15999999999967998,1.2246467991473532e-16,-1.0,8.0,8.0
2018-2019,1st,BSCS,50,3rd_year,12,2018,CS,1,42.473214285714285,12.0,0.0,0.0,2018,1,0.9142857142857144,0.23999999999952,1.2246467991473532e-16,-1.0,0.0,
2018-2019,1st,BSCS,50,4th_year,4,2018,CS,1,42.473214285714285,4.0,0.0,0.0,2018,1,2.050549450549451,0.07999999999983999,1.2246467991473532e-16,-1.0,0.0,
2018-2019,1st,BSIT,445,1st_year,219,2018,IT,1,42.473214285714285,219.0,0.0,0.0,2018,1,-7.7120879120879176,0.4921348314605636,1.2246467991473532e-16,-1.0,219.0,219.0
2018-2019,1st,BSIT,445,2nd_year,88,2018,IT,1,42.473214285714285,88.0,0.0,0.0,2018,1,-3.461538461538462,0.1977528089887196,1.2246467991473532e-16,-1.0,88.0,88.0
2018-2019,1st,BSIT,445,3rd_year,53,2018,IT,1,42.473214285714285,53.0,0.0,0.0,2018,1,-2.167032967032967,0.11910112359547886,1.2246467991473532e-16,-1.0,0.0,
2018-2019,1st,BSIT,445,4th_year,85,2018,IT,1,42.473214285714285,85.0,0.0,0.0,2018,1,-2.5340659340659353,0.19101123595501326,1.2246467991473532e-16,-1.0,0.0,
2018-2019,2nd,BSBA-FINANCIAL_MANAGEMENT,251,1st_year,54,2018,BA,2,132.0,93.0,55.154328932550705,-0.5909090909090908,4036,2,-6.303296703296706,0.10526315789471631,-2.4492935982947064e-16,1.0,0.0,
2018-2019,2nd,BSBA-FINANCIAL_MANAGEMENT,251,2nd_year,91,2018,BA,2,50.0,70.5,28.991378028648448,0.8200000000000001,4036,2,-3.0791208791208793,0.1773879142299849,-2.4492935982947064e-16,1.0,0.0,
2018-2019,2nd,BSBA-FINANCIAL_MANAGEMENT,251,3rd_year,43,2018,BA,2,59.0,51.0,11.313708498984761,-0.27118644067796616,4036,2,-3.773626373626375,0.08382066276801484,-2.4492935982947064e-16,1.0,0.0,
2018-2019,2nd,BSBA-FINANCIAL_MANAGEMENT,251,4th_year,63,2018,BA,2,19.0,41.0,31.11269837220809,1.0,4036,2,-2.0945054945054946,0.1228070175438357,-2.4492935982947064e-16,1.0,0.0,
2018-2019,2nd,BSBA-MARKETING_MANAGEMENT,262,1st_year,55,2018,BA,2,157.0,106.0,72.12489168102785,-0.6496815286624205,4036,2,-6.153846153846151,0.10721247563350736,-2.4492935982947064e-16,1.0,0.0,
2018-2019,2nd,BSBA-MARKETING_MANAGEMENT,262,2nd_year,87,2018,BA,2,45.0,66.0,29.698484809834994,0.9333333333333333,4036,2,-3.325274725274725,0.16959064327482073,-2.4492935982947064e-16,1.0,0.0,
2018-2019,2nd,BSBA-MARKETING_MANAGEMENT,262,3rd_year,64,2018,BA,2,50.0,57.0,9.899494936611665,0.28,4036,2,-3.008791208791208,0.12475633528262674,-2.4492935982947064e-16,1.0,0.0,
2018-2019,2nd,BSBA-MARKETING_MANAGEMENT,262,4th_year,56,2018,BA,2,31.0,43.5,17.67766952966369,0.8064516129032258,4036,2,-3.353846153846154,0.1091617933722984,-2.4492935982947064e-16,1.0,0.0,
2018-2019,2nd,BSCS,41,1st_year,9,2018,CS,2,26.0,17.5,12.020815280171307,-0.6538461538461539,4036,2,-0.5120879120879123,0.21951219512141582,-2.4492935982947064e-16,1.0,-16.997908807237593,9.0
