ds,Course,Year_Level,y
2018-01-01,BSBA-FINANCIAL_MANAGEMENT,1st_year,132
2018-01-01,BSBA-FINANCIAL_MANAGEMENT,2nd_year,50
2018-01-01,BSBA-FINANCIAL_MANAGEMENT,3rd_year,59
2018-01-01,BSBA-FINANCIAL_MANAGEMENT,4th_year,19
2018-01-01,BSBA-MARKETING_MANAGEMENT,1st_year,157
2018-01-01,BSBA-MARKETING_MANAGEMENT,2nd_year,45
2018-01-01,BSBA-MARKETING_MANAGEMENT,3rd_year,50
2018-01-01,BSBA-MARKETING_MANAGEMENT,4th_year,31
2018-01-01,BSCS,1st_year,26
2018-01-01,BSCS,2nd_year,8
2018-01-01,BSCS,3rd_year,12
2018-01-01,BSCS,4th_year,4
2018-01-01,BSIT,1st_year,219
2018-01-01,BSIT,2nd_year,88
2018-01-01,BSIT,3rd_year,53
2018-01-01,BSIT,4th_year,85
2018-02-01,BSBA-FINANCIAL_MANAGEMENT,1st_year,54
2018-02-01,BSBA-FINANCIAL_MANAGEMENT,2nd_year,91
2018-02-01,BSBA-FINANCIAL_MANAGEMENT,3rd_year,43
2018-02-01,BSBA-FINANCIAL_MANAGEMENT,4th_year,63
2018-02-01,BSBA-MARKETING_MANAGEMENT,1st_year,55
2018-02-01,BSBA-MARKETING_MANAGEMENT,2nd_year,87
2018-02-01,BSBA-MARKETING_MANAGEMENT,3rd_year,64
2018-02-01,BSBA-MARKETING_MANAGEMENT,4th_year,56
2018-02-01,BSCS,1st_year,9
2018-02-01,BSCS,2nd_year,11
2018-02-01,BSCS,3rd_year,5
2018-02-01,BSCS,4th_year,16
2018-02-01,BSIT,1st_year,75
2018-02-01,BSIT,2nd_year,98
2018-02-01,BSIT,3rd_year,102
2018-02-01,BSIT,4th_year,78
2019-01-01,BSBA-FINANCIAL_MANAGEMENT,1st_year,94
2019-01-01,BSBA-FINANCIAL_MANAGEMENT,2nd_year,43
2019-01-01,BSBA-FINANCIAL_MANAGEMENT,3rd_year,65
2019-01-01,BSBA-FINANCIAL_MANAGEMENT,4th_year,60
2019-01-01,BSBA-MARKETING_MANAGEMENT,1st_year,91
2019-01-01,BSBA-MARKETING_MANAGEMENT,2nd_year,54
2019-01-01,BSBA-MARKETING_MANAGEMENT,3rd_year,63
2019-01-01,BSBA-MARKETING_MANAGEMENT,4th_year,68
2019-01-01,BSCS,1st_year,17
2019-01-01,BSCS,2nd_year,20
2019-01-01,BSCS,3rd_year,5
2019-01-01,BSCS,4th_year,2
2019-01-01,BSIT,1st_year,150
2019-01-01,BSIT,2nd_year,47
2019-01-01,BSIT,3rd_year,78
2019-01-01,BSIT,4th_year,96
2019-02-01,BSBA-FINANCIAL_MANAGEMENT,1st_year,53
2019-02-01,BSBA-FINANCIAL_MANAGEMENT,2nd_year,14
2019-02-01,BSBA-FINANCIAL_MANAGEMENT,3rd_year,136
2019-02-01,BSBA-FINANCIAL_MANAGEMENT,4th_year,71
2019-02-01,BSBA-MARKETING_MANAGEMENT,1st_year,62
2019-02-01,BSBA-MARKETING_MANAGEMENT,2nd_year,13
2019-02-01,BSBA-MARKETING_MANAGEMENT,3rd_year,80
2019-02-01,BSBA-MARKETING_MANAGEMENT,4th_year,103
2019-02-01,BSCS,1st_year,15
2019-02-01,BSCS,2nd_year,4
2019-02-01,BSCS,3rd_year,8
2019-02-01,BSCS,4th_year,8
2019-02-01,BSIT,1st_year,72
2019-02-01,BSIT,2nd_year,38
2019-02-01,BSIT,3rd_year,88
2019-02-01,BSIT,4th_year,109
2020-01-01,BSBA-FINANCIAL_MANAGEMENT,1st_year,29
2020-01-01,BSBA-FINANCIAL_MANAGEMENT,2nd_year,52
2020-01-01,BSBA-FINANCIAL_MANAGEMENT,3rd_year,41
2020-01-01,BSBA-FINANCIAL_MANAGEMENT,4th_year,62
2020-01-01,BSBA-MARKETING_MANAGEMENT,1st_year,35
2020-01-01,BSBA-MARKETING_MANAGEMENT,2nd_year,47
2020-01-01,BSBA-MARKETING_MANAGEMENT,3rd_year,45
2020-01-01,BSBA-MARKETING_MANAGEMENT,4th_year,57
2020-01-01,BSCS,1st_year,18
2020-01-01,BSCS,2nd_year,10
2020-01-01,BSCS,3rd_year,4
2020-01-01,BSCS,4th_year,9
