School_Year,Semester,Course,1st_year_enrollees,2nd_year_enrollees,3rd_year_enrollees,4th_year_enrollees,total_enrollees,scholarship
2018-2019,1st,BSCS,26,8,12,4,50,yes
2018-2019,1st,BSIT,219,88,53,85,445,yes
2018-2019,1st,BSBA-MARKETING_MANAGEMENT,157,45,50,31,283,yes
2018-2019,1st,BSBA-FINANCIAL_MANAGEMENT,132,50,59,19,260,yes
2018-2019,2nd,BSCS,9,11,5,16,41,no
2018-2019,2nd,BSIT,75,98,102,78,353,no
2018-2019,2nd,BSBA-MARKETING_MANAGEMENT,55,87,64,56,262,yes
2018-2019,2nd,BSBA-FINANCIAL_MANAGEMENT,54,91,43,63,251,no
2019-2020,1st,BSCS,17,20,5,2,44,yes
2019-2020,1st,BSIT,150,47,78,96,371,yes
2019-2020,1st,BSBA-MARKETING_MANAGEMENT,91,54,63,68,276,yes
2019-2020,1st,BSBA-FINANCIAL_MANAGEMENT,94,43,65,60,262,yes
2019-2020,2nd,BSCS,15,4,8,8,35,yes
2019-2020,2nd,BSIT,72,38,88,109,307,no
2019-2020,2nd,BSBA-MARKETING_MANAGEMENT,62,13,80,103,258,no
2019-2020,2nd,BSBA-FINANCIAL_MANAGEMENT,53,14,136,71,274,yes
2020-2021,1st,BSCS,18,10,4,9,41,no
2020-2021,1st,BSIT,56,59,55,82,252,no
2020-2021,1st,BSBA-MARKETING_MANAGEMENT,35,47,45,57,184,no
2020-2021,1st,BSBA-FINANCIAL_MANAGEMENT,29,52,41,62,184,no
2020-2021,2nd,BSCS,13,12,5,10,40,no
2020-2021,2nd,BSIT,46,56,37,67,206,yes
2020-2021,2nd,BSBA-MARKETING_MANAGEMENT,31,47,52,65,195,yes
2020-2021,2nd,BSBA-FINANCIAL_MANAGEMENT,26,51,56,68,201,yes
2021-2022,1st,BSCS,37,7,3,3,50,yes
2021-2022,1st,BSIT,185,18,24,54,281,no
2021-2022,1st,BSBA-MARKETING_MANAGEMENT,87,29,22,58,196,no
2021-2022,1st,BSBA-FINANCIAL_MANAGEMENT,88,22,31,54,195,yes
2021-2022,2nd,BSCS,19,8,8,3,38,yes
2021-2022,2nd,BSIT,103,42,35,48,228,no
2021-2022,2nd,BSBA-MARKETING_MANAGEMENT,52,19,3,49,123,yes
2021-2022,2nd,BSBA-FINANCIAL_MANAGEMENT,55,21,47,56,179,yes
2022-2023,1st,BSCS,38,10,8,5,61,no
2022-2023,1st,BSIT,139,91,52,48,330,yes
2022-2023,1st,BSBA-MARKETING_MANAGEMENT,63,41,20,43,167,no
2022-2023,1st,BSBA-FINANCIAL_MANAGEMENT,64,45,20,51,180,no
2022-2023,2nd,BSCS,29,9,8,12,58,no
2022-2023,2nd,BSIT,107,72,30,48,257,yes
2022-2023,2nd,BSBA-MARKETING_MANAGEMENT,58,32,18,42,150,yes
2022-2023,2nd,BSBA-FINANCIAL_MANAGEMENT,52,33,18,55,158,yes
2023-2024,1st,BSCS,0,24,14,18,56,no
2023-2024,1st,BSIT,0,78,70,47,195,no
2023-2024,1st,BSBA-MARKETING_MANAGEMENT,0,45,31,17,93,no
2023-2024,1st,BSBA-FINANCIAL_MANAGEMENT,0,45,32,15,92,yes
2023-2024,2nd,BSCS,2,17,8,34,61,yes
2023-2024,2nd,BSIT,6,49,56,71,182,yes
2023-2024,2nd,BSBA-MARKETING_MANAGEMENT,8,36,30,23,97,yes
2023-2024,2nd,BSBA-FINANCIAL_MANAGEMENT,5,38,31,22,96,yes
2024-2025,1st,BSCS,16,4,24,34,78,yes
2024-2025,1st,BSIT,70,7,54,72,203,yes
2024-2025,1st,BSBA-MARKETING_MANAGEMENT,36,4,37,26,103,yes
2024-2025,1st,BSBA-FINANCIAL_MANAGEMENT,25,8,34,33,100,yes
2024-2025,2nd,BSCS,12,2,20,33,67,yes
2024-2025,2nd,BSIT,57,6,48,70,181,no
2024-2025,2nd,BSBA-MARKETING_MANAGEMENT,35,2,36,28,101,yes
2024-2025,2nd,BSBA-FINANCIAL_MANAGEMENT,11,8,30,34,83,yes
